RunNumber,BeamEnergy,Threshold,GearGeoFile
001902,4.8,6,alignedGear-iter1-sync001901-try1.xml
#001901,4.8,6,gear-run1901-try2_pre.xml
001901,4.8,6,alignedGear-iter8-sync001901-try2.xml 
001893,4.8,6,alignedGear-iter8-sync001901-try2.xml 


